feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,Milieu (Climat),Milieu (Sol),N_lixi,dCorg,rdt,point_idx,parcelle
3.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,302.33197696057607,23.315512849799113,120.23835755584682,54.81854197027721,13.045998570475728,167.6373480111292,98.02998665170277,39.03672746491168,50.97934761285824,43.40630977501298,29.569715735721804,57.92653275984294,0,0,3.934,-325.048,4.4,56,beauce_5_sa_056
3.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,274.61987287719705,9.04296942070759,207.8272746195398,20.564203397847564,53.52270221400395,146.4520367230906,83.12034027274976,55.0,15.30841803768549,36.17887969940686,12.528852776368835,55.0,0,0,3.79,-341.12,4.335,57,beauce_5_sa_057
3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,318.9295235348298,15.5,241.37343536937735,39.51052881395499,57.76237028550844,120.98259395663617,18.507522996859475,55.0,80.30809782065549,61.312054377687126,52.23220751068044,55.0,0,0,4.965999999999999,-346.06199999999995,4.17,58,beauce_5_sa_058
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0657558830004,15.5,175.0,30.5,30.5,81.88898636912748,55.0,55.0,55.0,55.0,55.0,55.0,0,0,4.564,-122.40799999999999,3.6,59,beauce_5_sa_059
3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,309.62757080928964,15.5,179.2320841569766,46.735290535118175,25.44238507072182,37.13781814986845,41.5767345019692,55.0,74.63979717566824,55.0,81.82090161863202,94.97717131429656,0,0,3.44,-246.94400000000002,4.455,60,beauce_5_sa_060
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.72860069928913,15.5,228.63696461049676,30.5,30.5,190.7111386149325,13.245189912606756,55.0,55.0,55.0,55.0,55.0,0,0,4.3100000000000005,-352.31,4.265000000000001,61,beauce_5_sa_061
3.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,319.0322377354107,15.5,150.5844449239642,40.03942234534251,51.9036847062013,130.34447874661842,62.17469081474629,73.28203397645868,66.49385459994288,55.0,80.73559666158543,55.0,0,0,4.965999999999999,-346.06199999999995,4.17,62,beauce_5_sa_062
3.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,291.8801992258212,15.5,182.94805134226564,18.96771217253232,11.365405857722385,90.49565340268192,76.81826756391933,60.99946900770012,11.402886143630136,55.0,53.86194749893653,55.0,0,0,3.4159999999999995,-259.34000000000003,4.425,63,beauce_5_sa_063
3.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,3.0,2.0,261.33478973297343,14.930339296573145,248.7047766306359,58.053801661012244,27.616013901672204,61.74759733751105,45.38320772764045,55.0,49.7418750100483,87.05925961683451,23.56702356780442,45.25156511405433,0,0,4.032,-323.196,4.325,64,beauce_5_sa_064
1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302.1279372361194,15.5,234.00840443802707,30.5,30.5,45.37644066765528,33.505483061325236,55.0,55.0,55.0,55.0,55.0,0,0,3.2079999999999997,-223.36400000000003,4.465,65,beauce_5_sa_065
3.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,1.0,1.0,272.139238148689,26.250244339407832,172.1086594445914,12.737997423758532,22.495391709573497,103.22918672578683,48.891718091260245,55.0,35.319010477200976,73.59890362602314,16.41628381227104,13.210619727234496,0,0,2.6119999999999997,-260.264,4.5649999999999995,66,beauce_5_sa_066
1.0,1.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,262.4728967853639,2.9022508236644073,223.45298437635424,30.5,30.5,76.99172677081489,51.85623168990162,21.653238692724198,55.0,55.0,55.0,55.0,0,0,2.344,-242.118,4.55,67,beauce_5_sa_067
